source	destination	disposition	evidence
references/privacy-and-compliance.md#L1-L3	privacy-and-data-protection#Scope	corrected	the non-HIPAA framing is kept, but the scope is now stated as owned slugs with an explicit does-not-own list derived from the frontmatter defers keys; the reciprocal boundary with hipaa-and-phi is named in both directions
references/privacy-and-compliance.md#L5-L7	privacy-and-data-protection#Scope	corrected	the "GDPR-relevant code patterns" umbrella is replaced by a citation set that names each instrument and its mandate strength, because the umbrella is what caused the ePrivacy content to be filed under GDPR
references/privacy-and-compliance.md#L9-L12	privacy-and-data-protection#Checklist-2	corrected	lawful basis pinned to Art 6(1); the consent-record requirement re-grounded on Art 7(1) demonstrability with Art 4(11) and Recital 32 for pre-ticked boxes; detector pair for a mutable boolean vs an append-only consent event
references/privacy-and-compliance.md#L14-L16	privacy-and-data-protection#Checklist-2	corrected	purpose limitation cited to Art 5(1)(b) rather than left unnumbered
references/privacy-and-compliance.md#L18-L22	privacy-and-data-protection#Checklist-14	corrected	data minimization cited to Art 5(1)(c), not bare "Article 5"; the HIPAA minimum-necessary comparison is removed because its treatment-context exceptions do not exist here and importing them suppresses real findings
references/privacy-and-compliance.md#L24-L27	privacy-and-data-protection#Checklist-8	corrected	storage limitation cited to Art 5(1)(e); "soft delete with no hard delete" restated as the absence of a purge path, which is the searchable artifact
references/privacy-and-compliance.md#L29-L32	privacy-and-data-protection#Checklist-9	corrected	punch list item 22: the 30-day window is wrong. Replaced with Art 12(3) one calendar month plus the two-month extension notified inside the first month, and CCPA Sec. 1798.130(a)(2) 45 days plus 45; detector pair on timedelta(days=30) vs relativedelta(months=1)
references/privacy-and-compliance.md#L34-L38	privacy-and-data-protection#Checklist-8	corrected	punch list item 24: "deletion must be true deletion" removed as an absolute and replaced with Art 17(1) plus the Art 17(3) exemptions and statutory retention duties; Art 19 recipient notification added, which the source omitted entirely
references/privacy-and-compliance.md#L40-L42	privacy-and-data-protection#Checklist-9	preserved	rectification retained, cited to Art 16, with Art 21(2) marketing objection added as absolute
references/privacy-and-compliance.md#L44-L46	privacy-and-data-protection#Checklist-9	corrected	Art 20 scoped to data the subject provided, under consent or contract, by automated means; the source implied parity with Art 15, so an omitted inference was being reported under the wrong article
references/privacy-and-compliance.md#L48-L51	privacy-and-data-protection#Checklist-17	corrected	privacy by design and default split to Art 25(1) and Art 25(2), with a default-value detector and a note to check migrations and backfills
references/privacy-and-compliance.md#L53-L56	privacy-and-data-protection#Checklist-1	moved	breach notification folded into the inventory item: Art 33(1) 72 hours from awareness is the reason an unenumerable store is a finding; Art 34(3)(a) named for the encryption exemption
references/privacy-and-compliance.md#L58-L61	privacy-and-data-protection#Checklist-6	corrected	Art 28(3) and Art 28(2) sub-processors cited; the finding is re-cut as the unenumerated destination under Art 30, because contract existence is not a code fact and the source invited a phantom "no DPA" finding
references/privacy-and-compliance.md#L63-L66	privacy-and-data-protection#Checklist-7	corrected	post-Schrems II framing updated: the 2023 EU-US Data Privacy Framework adequacy decision removes SCCs and the TIA for in-scope transfers, certification scope must be checked, the 2021 SCCs remain valid, and the UK and Swiss routes are separate
references/privacy-and-compliance.md#L68-L77	privacy-and-data-protection#Checklist-3	corrected	punch list item 20: the tracking-cookie and pre-checked-box bullets are re-filed from GDPR to ePrivacy Directive 2002/58/EC Art 5(3) with both exemptions, and EDPB Guidelines 02/2023 extend the analysis to pixels, local and session storage, IP-based tracking and SDK identifiers
references/privacy-and-compliance.md#L72	privacy-and-data-protection#Checklist-16	corrected	the unsubscribe bullet re-cited to ePrivacy Art 13 and to the CAN-SPAM Act 15 U.S.C. 7704(a)(4)(A) as a Statute for the ten-business-day opt-out duty, with the FTC CAN-SPAM Rule 16 CFR Part 316 alongside as a Rule for the opt-out mechanics only, and RFC 8058 one-click added as an industry specification and explicitly not as a legal citation
