source	destination	disposition	evidence
SKILL.md#frontmatter	SKILL.md#frontmatter	preserved	all nine commit/deploy trigger phrases carried verbatim, plus both trigger modes and the do-not-fire-during-development clause; the "last cheap chance" rationale sentence was cut for the 8 KB budget and the "fires even without the word audit" behaviour restated in the body opening
SKILL.md#audit-modes	SKILL.md#Modes	corrected	three parallel structures become three overlays on one pipeline: HIPAA force-activates its lens regardless of path matching and uses its ## Report format override, threat-model skips file-scoped fan-out
SKILL.md#two-phase-workflow	SKILL.md#Phase-0-through-Phase-6	corrected	attack-then-patch replaced by the six-phase pipeline; the adversarial-reading mandate survives as the opening line and as the maximise-recall rule under ## Severity rubric
SKILL.md#routing-to-references	SKILL.md#Phase-0	moved	the hand-maintained ten-row reference routing table is replaced by mechanical activation against each lens's activates_on; no per-domain routing prose remains in the orchestrator
SKILL.md#severity-rubric	SKILL.md#Severity-rubric	corrected	five levels and the no-hedging rule kept; generic examples reduced because each lens's ## Severity calibration supersedes them in its own domain; the arithmetic caps in lenses/_schema.md added as a binding constraint the root rubric had no concept of
SKILL.md#frameworks-in-scope		intentionally_removed	framework identifiers now live in each lens's frontmatter, so the orchestrator claims none; owasp-asvs is not traceable to a requirement ID in the corpus and "SANS Top 25" is not a real list, so a CWE lineage is exactly cwe-top-25 and neither of those two identifiers is carried anywhere
SKILL.md#output-format	SKILL.md#Phase-5	corrected	findings-then-patches kept; the fenced template is compressed to a field list, claimed/effective severity and tier/status are shown side by side, and the mandatory ## Coverage block is new
SKILL.md#style	SKILL.md#Phase-4	corrected	minimum-change and do-not-invent-a-patch rules kept at the patch phase; concrete-over-abstract is carried by the schema's evidence and attack fields rather than by prose
SKILL.md#when-auto-triggering	SKILL.md#frontmatter	preserved	fire on commit and deploy language, do not fire during active development, ask briefly when the moment is unclear
SKILL.md#when-the-user-pastes-large-code		intentionally_removed	"focus on Critical and High, mention you're filtering" contradicts the maximise-recall posture and the reachability-gate queue order; scope truncation is now disclosed in ## Coverage instead of applied silently
