source	destination	disposition	evidence
docs/design/2026-07-26-recon-punch-list.md#L1629	_harness.md	moved	Instruction to put the shared harness pieces in a single lenses/_harness.md that lenses reference by name is discharged; nine component sections plus a component index carry every piece the ten domain lenses name
docs/design/2026-07-26-recon-punch-list.md#L1631	_harness.md#Proof-tiers	moved	The T1/T2 tier rule stated once in the punch list is now the canonical T0-T3 table with severity cap and required capability mode per tier; the ephemeral-dependency clause and the ask-the-user-every-time clause preserved in substance
docs/design/2026-07-26-recon-punch-list.md#L1633	_harness.md#Proof-tiers	preserved	Static-checker resolution kept intact inside the T1 definition: detect(vulnerable)==1 and detect(clean)==0 executed by the repository's own runner, with the systematic-under-rating consequence retained as the reason it exists
docs/design/2026-07-26-red-team-audit-oss-design.md#L365-L377	_harness.md#Proof-tiers	moved	Spec section 6 tier table transcribed with mechanism, cap and mode; the tier-versus-capability-mode orthogonality preserved as the opening sentence
skills/last-aperture/lenses/salesforce-platform.md#L1445	_harness.md#Proof-tiers	preserved	Salesforce's inline T3 definition (an org is a remote host, the auditor writes the Apex test and does not run it, T3 UNPROVEN capped at Medium) generalized into the canonical T3 section with no divergence; the lens body was not edited and its user-runs-it-themselves escape hatch is generalized rather than dropped
docs/design/2026-07-26-red-team-audit-oss-design.md#L262	_harness.md#Proof-tiers	corrected	Record-the-tier-reached-not-attempted was a table-cell note only; promoted to a stated rule, and the T3-implies-UNPROVEN pairing rule added because the spec never stated it and the compound label T3 UNPROVEN reads as one value
docs/design/2026-07-26-red-team-audit-oss-design.md#L402-L431	_harness.md#Hard-rails	moved	Capability modes and the disclosure-not-a-sandbox argument condensed into the rails; the never-hunt-for-credentials rule and its INCONCLUSIVE-rather-than-reach-production outcome preserved
docs/design/2026-07-26-red-team-audit-oss-design.md#L432-L446	_harness.md#Hard-rails	moved	Filesystem and Git transaction contract folded into rails 3 and 4: disposable mirror or worktree, index preserved byte-for-byte, owned-path manifest, no bulk git add, staging only for named files after explicit approval
docs/design/2026-07-26-recon-punch-list.md#L1726-L1737	_harness.md#Hard-rails	moved	The rails-violating recipe family recorded so it is not reintroduced as an improvement; per-lens lists left in the lenses that own them, and the two sentinel-exfiltration cases named as the reason the collector only ever walks locally produced output
skills/last-aperture/lenses/salesforce-platform.md#L1470	_harness.md#Hard-rails	preserved	The rewritten guest-access recipe recorded in the contract: the live-endpoint probe became an offline computation over the checkout at T1, scratch org / sandbox / an-org-I-own is explicitly not an exemption, and the T2 consent prompt is not the written authorization and must never be presented as one
docs/design/2026-07-26-recon-punch-list.md#L1648-L1654	_harness.md#Canary-fixture-set	moved	Section 5.3's sentinel values, derived-encoding list and stub-the-transport-not-the-API rule became the canary fixture set; the hostile render corpus is folded in as its second half because lenses cite both under this one name
docs/design/2026-07-26-recon-punch-list.md#L1648	_harness.md#Canary-fixture-set	corrected	gzip+base64 was listed as a precomputed search form; corrected to decompress-the-sink-then-sweep, because a gzip of the isolated value matches only a compressed single field and deflate output varies with library version, compression level and the gzip OS header byte
