source	destination	disposition	evidence
references/crypto-deep-dive.md#L9-L28	crypto-and-key-management#Checklist-1	corrected	nonce/IV section: the VULNERABLE label on a fresh per-call secrets.token_bytes(12) and the CATASTROPHIC label on a monotonic counter nonce are both inverted. Rewritten as a four-construction table keyed to NIST SP 800-38D 8.2.2 (RBG-based) and 8.2.1 (deterministic); the broken example is now a module-scope nonce; the counter is a finding only on a named reset or shared-fixed-field condition. Source labels quoted once under Scope > Three inversions and marked non-instructional
references/crypto-deep-dive.md#L12	crypto-and-key-management#Scope	corrected	total loss of confidentiality narrowed: a repeated (key, nonce) yields the plaintext XOR, not both plaintexts, plus the GHASH subkey H and therefore arbitrary tag forgery
references/crypto-deep-dive.md#L13-L16	crypto-and-key-management#Checklist-1	preserved	CTR/CBC/ChaCha20 nonce and IV consequences; CBC restated as the one place predictability itself is the defect (CWE-329)
references/crypto-deep-dive.md#L17	crypto-and-key-management#Checklist-1	preserved	the audit pattern (random / unique counter / SIV) retained as the construction table; it already contradicted the VULNERABLE label two lines below it
references/crypto-deep-dive.md#L30-L35	crypto-and-key-management#Checklist-3	preserved	encrypt-then-MAC, AEAD preference, verify-before-parse; extended with the MAC-must-cover-the-IV rule and separate encryption and MAC keys
references/crypto-deep-dive.md#L36-L39	crypto-and-key-management#Checklist-3	preserved	padding oracles, folded into the ordering item with a detector on parse-before-tag-check
references/crypto-deep-dive.md#L40-L43	crypto-and-key-management#Checklist-4	corrected	constant-time comparison: per-language table added with the trap in each (timingSafeEqual RangeError on unequal lengths, ConstantTimeCompare length short-circuit, MessageDigest.isEqual versus Arrays.equals). The constant-time-on-most-JVMs-but-verify hedge replaced with the API contrast. Length extension preserved
references/crypto-deep-dive.md#L45-L49	crypto-and-key-management#Checklist-5	corrected	alg:none and RS256/HS256 confusion preserved; the grep set replaced because PyJWT verify=False stopped being the switch in PyJWT 2.0 (December 2020). Current shapes: options verify_signature False, a missing algorithms= argument, Node jwt.decode where verify was meant, Go ParseUnverified, and a keyfunc that never inspects token.Method
references/crypto-deep-dive.md#L51-L56	crypto-and-key-management#Checklist-4	preserved	replay and timestamp binding (CWE-294); the handler half (idempotency, replay cache, side-effect ordering) handed to web-and-api webhook-handler-integrity
references/crypto-deep-dive.md#L58-L62	crypto-and-key-management#Checklist-8	preserved	downgrade attacks (CWE-757), TLS floor, SSH legacy MACs; ssh-rsa clarified as an RSA key with a SHA-1 signature rather than a key type to remove
references/crypto-deep-dive.md#L64-L67	crypto-and-key-management#Checklist-10	preserved	key separation and HKDF (RFC 5869); extended with the rotation-identifier and key-destruction notes
references/crypto-deep-dive.md#L69-L74	crypto-and-key-management#Checklist-13	corrected	CSPRNG sources preserved; UUIDv4 entropy corrected from 128 to 122 bits (six bits are version and variant); Go 1.20 global math/rand auto-seeding added because it removed the missing-rand.Seed tell the old grep depended on
references/crypto-deep-dive.md#L76-L82	crypto-and-key-management#Checklist-11	preserved	RSA padding (RFC 8017, NIST SP 800-56B), ECDSA nonce (RFC 6979), Ed25519 cofactored verification, Diffie-Hellman subgroup validation
references/crypto-deep-dive.md#L80	crypto-and-key-management#Checklist-12	preserved	ECDSA malleability promoted to its own item with the ecrecover zero-address case and the low-s rule
references/crypto-deep-dive.md#L84-L91	crypto-and-key-management#Checklist-9	corrected	OWASP parameters preserved (argon2id 19 MiB t=2 p=1, bcrypt cost 10 minimum, scrypt N=2^17, PBKDF2-HMAC-SHA256 600k) with the SHA-1 and SHA-512 PBKDF2 variants added. The bcrypt advice pre-hash with SHA-256 or use a pepper scheme is corrected: a raw SHA-256 digest can contain a NUL and truncates the password in C implementations, so the digest must be base64- or hex-encoded, and a pepper does not address the 72-byte cap at all
references/crypto-deep-dive.md#L93-L97	crypto-and-key-management#Checklist-1	preserved	salt versus nonce versus IV distinctions, folded into the requirement statement at the top of item 1
