source	destination	disposition	evidence
references/llm-and-ai.md#L1	llm-and-ai#Scope	intentionally_removed	the "# LLM and AI security reference" title heading is frontmatter in a lens: title: LLM and AI application security. A body H1 would break the ## section skeleton the parser splits on
references/llm-and-ai.md#L3	llm-and-ai#Scope	intentionally_removed	router instruction ("Load this for code that calls an LLM API...") addressed to the orchestrator, not the auditor. Activation is frontmatter activates_on; de-branding rule for router coupling, punch list #L1770-L1772. Coverage is now stated as owned topics instead
references/llm-and-ai.md#L3	llm-and-ai#Proof-recipes	moved	the "Built around OWASP Top 10 for LLM Applications (2025)" attribution becomes the framework citation paragraph, which additionally names the agentic list, nist-ai-600-1, mitre-atlas and nist-ssdf-800-218a per punch list #L209
references/llm-and-ai.md#L5	llm-and-ai#Checklist	moved	the "## OWASP LLM Top 10 (2025) lens" grouping is replaced by fifteen Checklist items keyed to owned topic slugs. The LLM01-LLM10 identifiers survive as citations rather than as structure, because findings must inherit a slug the registry owns, not a section number
references/llm-and-ai.md#L8	llm-and-ai#Scope	corrected	the model "has no reliable way to distinguish" framing is kept and strengthened into Scope fact 1: no model training makes a model injection-resistant, and severity never derives from the vendor. The source paired this correct sentence with a provider section that contradicted it (punch list item 13)
references/llm-and-ai.md#L10-L12	llm-and-ai#Checklist-3	preserved	direct, indirect and multi-modal injection kept as the first question of item 3, with the taxonomy expanded to the concrete sources an auditor greps for: uploads, fetched pages, email bodies, rows another principal wrote, tool results, filenames, alt text, transcripts, subtitles
references/llm-and-ai.md#L15	llm-and-ai#Checklist-3	corrected	"is untrusted content concatenated into the same context as privileged instructions" is now the FIRST of three ordered questions rather than the finding. Filing on the concatenation alone produces one finding per prompt template; false positive 1 states the rule
references/llm-and-ai.md#L16	llm-and-ai#Checklist-3	corrected	the "XML tags / delimiters help but are not bulletproof" hedge is restated as a hard rule: delimiters are hygiene, are not a fix, and must not be cited as the reason for a downgrade. The downgrade comes from the capability inventory
references/llm-and-ai.md#L17	llm-and-ai#Checklist-3	preserved	tool calls driven by instructions in retrieved content, demonstrated by the create_react_agent detector whose match binds an outbound tool alongside a fetch tool
references/llm-and-ai.md#L18	llm-and-ai#Checklist-10	moved	model output treated as trusted by downstream code becomes its own item under model-output-taint-propagation, with the interpreter, query-engine, template, filesystem and downstream-agent sinks enumerated
references/llm-and-ai.md#L19	llm-and-ai#Checklist-5	moved	destructive actions without human-in-the-loop become the approval clause of the tool item, corrected so that a server-side pause (graph interrupt, pending_actions row, workflow signal) counts and the absence of a dialog proves nothing (punch list #L1526)
references/llm-and-ai.md#L22	llm-and-ai#Scope	intentionally_removed	training-data leakage: the source itself calls it "mostly a model-provider concern, not app-level". Nothing in a repository can establish it and no owned slug covers it. Recorded as removed rather than dropped so a later pass does not re-add it as an unfalsifiable checklist line
references/llm-and-ai.md#L23	llm-and-ai#Checklist-1	corrected	secrets and personal data in prompts to third-party APIs becomes the data-flow inventory. The "verify the provider has appropriate data handling" half becomes the undated questionnaire in item 2; the BAA and classification determinations are handed to hipaa-and-phi and privacy-and-data-protection, which own them
references/llm-and-ai.md#L24	llm-and-ai#Checklist-4	preserved	the model leaking system prompt contents is restated as the premise of the item: assume the prompt is published, so an instruction not to reveal it is itself a signal that someone believed it was a control
references/llm-and-ai.md#L25	llm-and-ai#Checklist-9	moved	embeddings of sensitive data stored without access control moves to the derived-store item, joined to the metadata check that fires far more often: raw chunk text or a direct identifier stored beside the vector leaks on a plain read, with no inversion needed
references/llm-and-ai.md#L26	llm-and-ai#Checklist-8	moved	RAG retrieving documents the user should not see becomes the retrieval-authorization item, split into the two independent halves (filter inside the query, principal from the server session) each with its own detector
