source	destination	disposition	evidence
SKILL.md#L133	business-logic#Severity-calibration	corrected	"Race conditions (TOCTOU, double-spend, signup races)" carried as the double-spend severity row, but raised under web-and-api's race-conditions-and-toctou rather than claimed; the source filed it as its own bullet with no owner
SKILL.md#L134	business-logic#Severity-calibration	moved	"Idempotency missing on payment/charge endpoints" becomes the duplicate-charge severity row, with the retry path required as a cited condition; the recipe half is B3
SKILL.md#L134	business-logic#Proof-recipes	moved	same bullet, executable half: B3 asserts recorded provider call count == 1 plus one ledger row, using the counting fake client; response equality alone is stated as insufficient
SKILL.md#L135	business-logic#Severity-calibration	moved	"Business logic flaws (negative quantities, integer overflow, coupon stacking)" split across the value-movement row and the pricing-arithmetic route-2 list; each requires a reached state rather than an accepted input
SKILL.md#L135	business-logic#Proof-recipes	moved	same bullet, executable half: B1 boundary-value corpus with the money invariant asserted on persisted state; stated plainly that the canary fixture set's hostile corpus does not cover numeric edges
references/web-and-api.md#L122	business-logic#Scope	moved	workflow-level abuse at scale (account creation, coupon redemption, ticket purchase) kept as a raise against web-and-api's rate-limiting-and-request-quotas at workflow level, not a claimed topic
docs/design/2026-07-26-red-team-audit-oss-design.md#L214	business-logic#Scope	moved	"web-and-api owns client-trusted-business-rules and race-conditions-and-toctou, but business-logic is the lens that raises findings against them" stated from both sides, with the raised record shape (lens/topic/raised_by) written out
docs/design/2026-07-26-recon-punch-list-repair.md#L160-L161	business-logic#Scope	moved	the two inline comments naming business-logic as the raiser for those slugs are discharged as an explicit does-not-own section listing every slug it raises against with its owner
SKILL.md#L222	attack-chaining#Severity-calibration	corrected	"If multiple Mediums chain into data exfiltration, account takeover, or privilege escalation, raise the chained finding severity and explain the chain" preserved in substance and gated: raised_by required, component_finding_ids ordered, three gates before any elevation, weakest-component cap after proof
SKILL.md#L238	attack-chaining#Severity-calibration	corrected	"a Low info disclosure plus a Medium auth quirk becomes a Critical when combined" kept as the composition table's premise but subjected to the delta test; a composition that adds nothing above its strongest component is not a chain
SKILL.md#L55	attack-chaining#Severity-calibration	preserved	the general rubric's "chained with another bug" clause stays in the rubric; its chain-side consequence is the composition table, which grades the terminal state rather than adding a step to a component
