source	destination	disposition	evidence
references/threat-modeling.md#L1	threat-modeling#frontmatter	preserved	source title "Threat modeling reference" carried as frontmatter title "Architecture threat modeling"; frontmatter was not edited by this migration
skills/red-team-audit/lenses/_topics.md#threat-modeling	threat-modeling#Scope	moved	all nine owned slugs given a row in the Scope Owns table, so every slug has a stated meaning inside this lens rather than only a name in the registry
skills/red-team-audit/lenses/threat-modeling.md#frontmatter-defers	threat-modeling#Scope	moved	all 42 defers keys enumerated in the does-not-own list grouped by owning lens, verified key-for-key against the frontmatter; three web-and-api slugs called out individually as the ones this lens files by accident
skills/red-team-audit/lenses/threat-modeling.md#frontmatter-defers	threat-modeling#Scope	corrected	four adjacent slugs have no defers entry and are stated so nothing is double-filed: kubernetes-rbac-and-admission and control-plane-audit-logging (cloud-and-iac), multi-agent-trust-propagation and chat-exfiltration-channels (llm-and-ai). REPORTED to the registry owner rather than resolved in this body
references/threat-modeling.md#L3	threat-modeling#Scope	corrected	router instruction "Load this when the user explicitly asks for a threat model, or when a system is complex enough..." replaced by "Posture, not activation": activation is mechanical via activates_on, so the body must not spend output re-deciding whether to run
references/threat-modeling.md#L5-L10	threat-modeling#Scope	corrected	the checklist-audit vs threat-model comparison survives as the posture paragraph; the "if you only have time for one, threat-model" advice is dropped because lens selection is no longer the auditor's decision
docs/plans/2026-07-26-phase-a-lens-registry.md#L1540	threat-modeling#Scope	corrected	the unfalsifiability premise is stated up front and pointed at the anchor rule; a "What cannot be determined from a repository" list is authored (seven items: internet reachability, deployed-vs-committed topology, who holds which credential, whether an emitted log reaches anything, controls living in infrastructure outside the checkout, organizational trust, whether a stated assumption is still true)
references/threat-modeling.md#L157-L171	threat-modeling#Checklist	preserved	the seven-step audit process becomes the Checklist order: establish the system, boundaries, STRIDE, attack paths, mitigations, ranking, output
threat-modeling#Checklist	threat-modeling#Checklist	corrected	the ordering sentence said "Items 1-4 build the model" while the list starts at item 0, leaving the anchor gate outside the stated order; now "Item 0 and items 1-4 build the model", with item 0 named as the gate everything after it inherits
references/threat-modeling.md#L58-L64	threat-modeling#Checklist-0	corrected	"Drawing the boundaries" becomes item 0 component and flow list with concrete discovery commands; the four per-crossing questions (validated, authenticated, authorized, encrypted) are re-pointed at the lens that owns each control instead of being answered here
references/threat-modeling.md#L159	threat-modeling#Checklist-0	corrected	"If the user hasn't provided this, ask for an architecture sketch or infer from code" said nothing about recording what the inference rested on. That omission is the direct cause of the failure mode this lens exists to prevent, so item 0 adds the anchor ledger: a file path with a line, a config key with its value, or an explicitly stated architectural assumption, recorded per component and per flow before any threat
references/threat-modeling.md#L159	threat-modeling#Checklist-0	preserved	a user-supplied diagram, topology description or design proposal is retained as a source, and named as the strongest anchor available because it is an explicitly stated architectural assumption
