source	destination	disposition	evidence
references/mobile.md#L1-L3	mobile-app-security#Scope	corrected	the "for the stacks the user actually ships" clause is de-branded to "Depth is greatest on React Native/Expo, the most common cross-platform stack"; the load-this-for list is restated as owned slugs plus a does-not-own list derived from the frontmatter defers keys (all 32 verified present)
references/mobile.md#L3	mobile-app-security#Scope	intentionally_removed	the Flutter half of the coverage claim is dropped rather than filled with invented content: there was not one Flutter item to migrate. It is replaced by a named coverage gap listing the four checks a Flutter app would need, with an instruction to report the mobile surface as unaudited and never emit a clean mobile result
docs/design/2026-07-26-recon-punch-list.md#L212	mobile-app-security#Scope	corrected	the activates_on-promises-coverage item is answered by narrowing coverage rather than inventing a Flutter block; the frontmatter glob and signal removals are outside this task edit scope and are reported to the controller in task-mobile-report.md
references/mobile.md#L5	mobile-app-security#Scope	preserved	OWASP Mobile Top 10 (2024) kept as the framing and as a frameworks identifier; M1, M3, M4, M5, M7, M8, M9 map onto checklist items 1-14, and M2/M6/M10 are reduced to routing notes
references/mobile.md#L14-L18	mobile-app-security#Scope	moved	M2 routed wholesale to cicd-and-supply-chain (dependency-pinning-and-lockfiles, package-dependency-cves, ci-secret-and-token-handling); two pieces retained and named - OTA signature verification (item 13) and vendored native code (item 14)
references/mobile.md#L17	mobile-app-security#Scope	corrected	"shared via Slack" de-branded to "passed around in chat, email or ticket attachments" inside the M2 routing note
references/mobile.md#L38-L42	mobile-app-security#Scope	moved	M6 routed to privacy-and-data-protection for lawful basis, purpose, retention and deletion; three pieces retained - consent mechanism (item 11), store declarations (item 12), UI leakage (item 10) - with crash and analytics payloads split as a shared case
references/mobile.md#L41	mobile-app-security#Scope	moved	background location collection routed to privacy-and-data-protection, but the handoff is made findable: ACCESS_BACKGROUND_LOCATION in the merged manifest, NSLocationAlwaysAndWhenInUseUsageDescription in Info.plist, and a UIBackgroundModes entry are named as the artifacts this lens supplies with file and line
references/mobile.md#L69-L73	mobile-app-security#Scope	moved	M10 routed to crypto-and-key-management; one piece retained (platform-keystore-key-custody, item 2). Custom crypto, ECB, static IVs and KDF parameters are named as theirs so an auditor working the M-list does not conclude they are unowned
docs/design/2026-07-26-recon-punch-list.md#L196-L198	mobile-app-security#Scope	corrected	the "OWASP 2023" Password Storage Cheat Sheet edition does not exist, and 600,000 PBKDF2-HMAC-SHA256 iterations is a server-side password-verification figure; the M10 routing note states the misapplication, points to a hardware-backed key or argon2id, and requires citation by URL plus retrieval date with RFC 9106 divergent figures acknowledged
references/mobile.md#L23	mobile-app-security#Scope	moved	backend trusting a client-supplied user id routed to web-and-api (authz-object-level, authz-property-level); the does-not-own entry states that the app is the evidence and the finding is theirs
references/mobile.md#L27	mobile-app-security#Scope	moved	"server treats mobile clients as trusted" routed to web-and-api; item 15 collects the device-side evidence and hands it over with file and line
references/mobile.md#L130	mobile-app-security#Scope	moved	BaaS security rules routed to cloud-and-iac (baas-security-rules) with the reason stated - they are the only control between a mobile client and the database, and they are graded there
references/mobile.md#L24	mobile-app-security#Checklist-1	corrected	refresh tokens in AsyncStorage, SharedPreferences or a plist kept as the High case, but the finding now requires the store named and the key quoted, because "unencrypted storage" alone fires on theme and locale
references/mobile.md#L58-L62	mobile-app-security#Checklist-1	corrected	"AsyncStorage - NOT encrypted, just a JSON file" was wrong about the backing store and misdirected the proof: Android is SQLite at /data/data/<pkg>/databases/RKStorage table catalystLocalStorage, iOS is Documents/RCTAsyncLocalStorage_V1/manifest.json plus per-key files, with an instruction to confirm the iOS directory for the version in the lockfile and search both the Documents and Library trees
docs/design/2026-07-26-recon-punch-list.md#L154	mobile-app-security#Checklist-1	corrected	react-native-mmkv added as plaintext unless constructed with an encryptionKey, with the note that a key hardcoded in JavaScript ships in the same bundle as the data; a detector pair demonstrates both states
references/mobile.md#L62	mobile-app-security#Checklist-1	corrected	SQLite without SQLCipher kept, but escalation now requires a concrete exposure path (Auto Backup, device or desktop backup, shared container, exported ContentProvider, NSFileProtectionNone, or a stated encryption-at-rest requirement) because Android file-based encryption and iOS Data Protection already cover the base case
