source	destination	disposition	evidence
docs/design/2026-07-26-recon-punch-list-repair.md#L3-L225	web-and-api	moved	repair companion frontmatter block for web-and-api
docs/design/2026-07-26-recon-punch-list-repair.md#L226-L314	crypto-and-key-management	moved	repair companion frontmatter block for crypto-and-key-management (formerly filed as crypto-deep-dive)
docs/design/2026-07-26-recon-punch-list.md#L256-L457	cloud-and-iac	moved	punch list surviving frontmatter block for cloud-and-iac
docs/design/2026-07-26-recon-punch-list.md#L459-L624	cicd-and-supply-chain	moved	punch list surviving frontmatter block for cicd-and-supply-chain
docs/design/2026-07-26-recon-punch-list.md#L626-L779	mobile-app-security	moved	punch list surviving frontmatter block for mobile-app-security
docs/design/2026-07-26-recon-punch-list.md#L781-L907	llm-and-ai	moved	punch list surviving frontmatter block for llm-and-ai
docs/design/2026-07-26-recon-punch-list.md#L909-L1023	hipaa-and-phi	moved	punch list surviving frontmatter block for hipaa-and-phi
docs/design/2026-07-26-recon-punch-list.md#L1025-L1183	privacy-and-data-protection	moved	punch list surviving frontmatter block for privacy-and-data-protection
docs/design/2026-07-26-recon-punch-list.md#L1185-L1331	salesforce-platform	moved	punch list surviving frontmatter block for salesforce-platform
docs/design/2026-07-26-recon-punch-list.md#L1333-L1437	threat-modeling	moved	punch list surviving frontmatter block for threat-modeling
docs/design/2026-07-26-red-team-audit-oss-design.md#L141-L155	ai-generated-code	moved	design doc lens-shapes table and always-on rationale for the new fourteenth lens
docs/design/2026-07-26-red-team-audit-oss-design.md#L141-L151	attack-chaining	moved	design doc lens-shapes table, triage row
docs/design/2026-07-26-red-team-audit-oss-design.md#L141-L151	business-logic	moved	design doc lens-shapes table, triage row
docs/design/2026-07-26-red-team-audit-oss-design.md#L141-L151	completeness	moved	design doc lens-shapes table, triage row
SKILL.md#llm-generated-code-tells	ai-generated-code	moved	repair-companion-decision
references/hipaa-and-phi.md#L1	hipaa-and-phi#frontmatter	preserved	frontmatter title "HIPAA and PHI compliance"
references/hipaa-and-phi.md#L3	hipaa-and-phi#Scope	corrected	activation moved to frontmatter activates_on; separate-audit-mode framing kept in Report format override; scope narrowed to ePHI per punch list Corrections-that-change-routing
references/hipaa-and-phi.md#L5	hipaa-and-phi#Scope	corrected	Scope now names §164.312, the code-visible Privacy Rule provisions, the Breach Notification Rule and 42 CFR Part 2; the blanket administrative-safeguard exclusion is replaced by the does-not-own list, and §164.308/§164.316 are retained because they are the Required home for addressable-specification gaps
references/hipaa-and-phi.md#L7-L28	hipaa-and-phi#Checklist-1	corrected	the 18 categories are re-labelled as the §164.514(b)(2)(i)(A)-(R) de-identification standard rather than the definition of PHI; the §160.103 definition is added; "field X is one of the 18" is explicitly not a finding; and round 1 adds that (i)(R) is a catch-all for any other unique identifying number, characteristic or code, so the list cannot be used to rule a field out
references/hipaa-and-phi.md#L30	hipaa-and-phi#Checklist-1	preserved	conjunction-with-health-information rule preserved in substance as the classification test
references/hipaa-and-phi.md#L32	hipaa-and-phi#Checklist-2-to-7	preserved	the §164.312 subsection walk is Checklist items 2, 3, 5, 6 and 7
references/hipaa-and-phi.md#L34-L36	hipaa-and-phi#Checklist-2	corrected	the (a)(1) standard is obligatory, but "Required implementation specifications" was wrong for the group: (a)(2)(iii) and (a)(2)(iv) are Addressable, so mandate strength is stated per specification. Round 1 added a four-label notation table; round 2 repairs a structural gap in it — Standard was defined as "no implementation specification", which left every Subpart C standard that HAS specifications unlabelled and caused five mislabels. Standard now means a Subpart C standard whose obligation comes from §164.306(b)-(c) regardless of whether specifications hang beneath it, with the specifications carrying their own separate Required/Addressable label. Two anti-inference rules added, plus a sixth unlabelled case for definitions
references/hipaa-and-phi.md#L38-L42	hipaa-and-phi#Checklist-2	corrected	§164.312(a)(2)(i) Required, with detector; reframed to "the acting human is recoverable at every layer" and a carve-out added for service identities that never act for a human
references/hipaa-and-phi.md#L44-L47	hipaa-and-phi#Checklist-2	corrected	§164.312(a)(2)(ii) Required, with detector; the audit obligation is re-attributed to §164.312(b) and the absence of a break-glass path is marked as out-of-code
references/hipaa-and-phi.md#L49-L52	hipaa-and-phi#Checklist-2	corrected	§164.312(a)(2)(iii) Addressable, with detector; the "15-30 minute tokens" heuristic is replaced by "no inactivity termination at any layer", and workstation auto-lock is routed to §164.310
references/hipaa-and-phi.md#L54-L55	hipaa-and-phi#Checklist-2	corrected	storage-layer configuration deferred to cloud-and-iac encryption-at-rest-configuration; the self-managed-store escalation is kept here with a detector
references/hipaa-and-phi.md#L56	hipaa-and-phi#Checklist-2	corrected	severity-calibration defect rather than a false statement of law: L56 labels the specification Addressable correctly and carries the documented-alternative carve-out, but instructs a High finding anyway. Rewritten as a §164.306(d)(3) assessment-and-documentation gap citing §164.308(a)(1)(ii)(A) Required and the documentation standard §164.316(b)(1) Standard, whose specifications at §164.316(b)(2) are Required — round 2 corrected §164.316(b)(1) here from Required, since it is a standard and not a specification. Capped at Medium absent a concrete exposure path. Round 1 also widened the January 2025 NPRM caveat to cover every Addressable label in the lens
references/hipaa-and-phi.md#L58-L60	hipaa-and-phi#Checklist-3	corrected	§164.312(b) labelled Standard with no implementation specification; the regulation names no mechanism and does not require it to live in application code. Round 2 dropped the "Required (Standard)" construction from the four §164.312(b) sites in the LENS; round 3 completes it in this ledger, where §164.308(b)(1), §164.312(b) and §164.404 were still carrying Required in rows for L124, L164 and L240
references/hipaa-and-phi.md#L63-L64	hipaa-and-phi#Checklist-3	corrected	reframed from "reads/writes must be logged" to attribution-and-examinability, with §164.308(a)(1)(ii)(D) Required added as the companion review obligation
references/hipaa-and-phi.md#L65	hipaa-and-phi#Checklist-3	corrected	log content deferred to web-and-api application-log-and-url-content; the classification call and the destination question stay here
references/hipaa-and-phi.md#L66	hipaa-and-phi#Checklist-3	corrected	kept with a GRANT/REVOKE detector, stated as a security finding where the regulation is silent and as §164.312(c)(1) where the audit record is part of the designated record set
references/hipaa-and-phi.md#L67	hipaa-and-phi#Checklist-4	corrected	OVERREACH 1 (punch list §1 item 8): HIPAA sets no audit-log retention period. Replaced by the §164.316(b)(2)(i) Required six-year clock on Security Rule documentation plus "audit configured retention against the organization own stated policy". Round 2 relabels the parent §164.316(b)(1) as Standard rather than Required, keeping Required on its (b)(2) implementation specifications, so the standard-versus-specification distinction is visible at the citation
references/hipaa-and-phi.md#L69	hipaa-and-phi#Checklist-3	preserved	the SQL-reads-with-no-application-audit gap is preserved as the narrower pooled-principal finding and as Known false positives entry 1
references/hipaa-and-phi.md#L71-L80	hipaa-and-phi#Checklist-5	corrected	§164.312(c)(1) labelled Standard (round 2 correction from Required — it is a standard, and Required/Addressable classify only specifications under §164.306(d)) and §164.312(c)(2) Addressable; backup and replica configuration deferred to cloud-and-iac
references/hipaa-and-phi.md#L82-L86	hipaa-and-phi#Checklist-6	corrected	§164.312(d) labelled Standard with no implementation specification. Round 2 drops the "Required (Standard)" construction, which prefixed a §164.306(d) specification label onto a standard; the obligation source is §164.306(b)-(c)
references/hipaa-and-phi.md#L87	hipaa-and-phi#Checklist-6	corrected	OVERREACH 6 (found beyond punch list §1): §164.312(d) names no authentication factor and does not require MFA. Demoted to a security finding with no compliance citation per rule 4, retained at High on security merit, and offered as a §164.308(a)(1)(ii)(A) Required risk-analysis input; the January 2025 NPRM is named as a proposal, not law, with the caveat now stated where the Required/Addressable convention is introduced
