source	destination	disposition	evidence
references/cloud-and-iac.md#L1	cloud-and-iac#frontmatter	preserved	title "Cloud and infrastructure as code"; frontmatter itself was not edited by this migration
references/cloud-and-iac.md#L3	cloud-and-iac#Scope	corrected	router instruction "Load this for Terraform, Pulumi, CloudFormation..." removed; activation is frontmatter activates_on. The artifact list survives as the Scope opening sentence
references/cloud-and-iac.md#L3	cloud-and-iac#Scope	corrected	"Built on CIS Benchmarks and common breach patterns" replaced by the "What cis-benchmarks means here" block: no global CIS version exists, so the auditor names benchmark + version, and Level 2 items are hardening
references/cloud-and-iac.md#L5-L7	cloud-and-iac#Checklist item 1	preserved	"The #1 cloud breach vector. Audit IAM with the same intensity as application auth code" survives as the ordering rationale in the Checklist preamble and item 1
references/cloud-and-iac.md#L10	cloud-and-iac#Known false positives 1	corrected	Action:*/Resource:* on a non-admin role: Resource:* is mandatory for non-resource-scopable actions, so the finding is narrowed to resource-scopable actions or Action:* itself
references/cloud-and-iac.md#L11	cloud-and-iac#Severity calibration	preserved	iam:PassRole with Resource:* stays Critical; establishing artifact named (actions/resources pair with no iam:PassedToService)
references/cloud-and-iac.md#L12	cloud-and-iac#Known false positives 2	corrected	sts:AssumeRole trust policy with Principal:* is Critical only with no identity-bearing condition; aws:SecureTransport-only conditions explicitly excluded from the clearance
references/cloud-and-iac.md#L13	cloud-and-iac#Checklist item 1	corrected	long-lived access keys restated as the checkable artifact aws_iam_access_key plus the aws:MultiFactorAuthPresent condition, with console MFA recorded as account state
references/cloud-and-iac.md#L14	crypto-and-key-management#hardcoded-credentials-and-key-material	moved	access keys in code deferred: a credential literal in the tree is crypto’s finding. The container (manifest, state, function env) stays in Checklist item 16
references/cloud-and-iac.md#L15	cloud-and-iac#Checklist item 17	corrected	root-account usage restated as the checkable control: alerting on root usage, IAM change and CloudTrail-stop events
references/cloud-and-iac.md#L16	cloud-and-iac#Checklist item 1	corrected	"No MFA on console users" is account state, not repository state; replaced by the MFA condition-key proxy and an explicit open question rather than an unfireable check
