source	destination	disposition	evidence
references/web-and-api.md#L1	web-and-api#frontmatter	preserved	frontmatter title "Web application and API security"
docs/design/2026-07-26-recon-punch-list-repair.md#L3-L225	web-and-api#frontmatter	preserved	repair companion frontmatter block adopted unchanged by the ownership pass; not edited by this migration
references/web-and-api.md#L3	web-and-api#Scope	corrected	router instruction "Load this for HTTP servers, REST APIs, GraphQL..." removed; activation is frontmatter activates_on. The same line claimed "ASVS L1/L2 patterns" and that claim is dropped, per punch list section 1 ASVS finding
references/web-and-api.md#L3	web-and-api#Scope	intentionally_removed	the "ASVS L1/L2 patterns" framework claim: no requirement in the source is traceable to an ASVS identifier and 5.0.0 renumbered the catalogue. Scope now carries an explicit instruction not to cite ASVS and not to add owasp-asvs to frameworks until real 5.0 requirement IDs accompany it
docs/design/2026-07-26-recon-punch-list.md#L207	web-and-api#Scope	corrected	the routing correction "pin ASVS or drop the claim" is resolved in favour of dropping it, and the reason is written into the body so a later pass cannot silently re-add the identifier
docs/design/2026-07-26-recon-punch-list.md#L24-L25	web-and-api#Scope	preserved	A09:2025 Security Logging and Alerting Failures locked as the routing key with an explicit do-not-correct instruction; the inventory item asking for "Logging & Alerting Failures" stays rejected
docs/design/2026-07-26-recon-punch-list.md#L206	web-and-api#Scope	preserved	"SANS Top 25" named in the body as a list that does not exist and must never appear; cwe-top-25 given as the only correct identifier
skills/last-aperture/lenses/_topics.md#web-and-api	web-and-api#Scope	moved	all 33 owned slugs enumerated in the Scope Owns table, one row each, so every slug has a stated meaning in this lens
skills/last-aperture/lenses/web-and-api.md#frontmatter-defers	web-and-api#Scope	moved	all 54 defers keys enumerated in the does-not-own list grouped by owning lens, with four explicit boundary paragraphs for the pairs most often mis-filed here (token verification, password hashing, token entropy, constant-time comparison)
references/web-and-api.md#L124-L125	web-and-api#Scope-crosswalk	corrected	API7 "See A10 above" pointed at Mishandling of Exceptional Conditions in 2025 numbering; the crosswalk now resolves API7:2023 to Checklist item 19, Server-side request forgery
references/web-and-api.md#L127-L128	web-and-api#Scope-crosswalk	corrected	API8 "See A05 above" pointed at Injection in 2025 numbering; the crosswalk now resolves API8:2023 to Checklist items 4, 10 and 11
references/web-and-api.md#L9-L134	web-and-api#Scope-crosswalk	corrected	every remaining relative "See Axx above" reference replaced by an explicit anchored link to a numbered Checklist item, and every category identifier written with its edition (A01:2025, API1:2023) because bare letter-numbers are ambiguous across the two lists this lens keeps in scope
references/web-and-api.md#L10-L11	web-and-api#Checklist-1	moved	force-browse and change-the-id become the object-level authorization item, with the write, bulk and export paths called out separately because that is where scoping is usually absent
references/web-and-api.md#L12	web-and-api#Checklist-8	moved	"replay a request after logout" becomes the server-side invalidation check in the session item, reconciled with false positive 6
references/web-and-api.md#L13	web-and-api#Checklist-10	moved	the CORS-permissiveness question becomes the CORS item, re-centred on reflection rather than breadth
references/web-and-api.md#L14	web-and-api#Checklist-3	corrected	Referer-based access control retained and sharpened: the operative defect is that the header is absent under no-referrer and stripped by proxies, so the missing-header branch is the unauthenticated path
references/web-and-api.md#L15	web-and-api#Checklist-4	corrected	metadata endpoints kept, but /api/swagger replaced: it is not a path any framework serves, so a check keyed to it reports clean on every codebase. The real surfaces are named (/swagger-ui.html, /v3/api-docs, /openapi.json, /docs, /redoc) alongside /actuator and its dangerous sub-endpoints
references/web-and-api.md#L18	web-and-api#Checklist-7	moved	default credentials split: a login form accepting a documented default stays here; key material in the repository routes to hardcoded-credentials-and-key-material in crypto-and-key-management
references/web-and-api.md#L19	web-and-api#Checklist-30	moved	verbose errors in production become the error-handling item, with the environment-default trap named
references/web-and-api.md#L20	web-and-api#Checklist-17	corrected	directory listing made findable: the concrete artifacts are autoindex on, Options +Indexes, serve-index, dotfiles allow, http.server and a Go FileServer, rather than the concept
references/web-and-api.md#L21	web-and-api#Checklist-25	corrected	unnecessary methods retained under API inventory; TRACE demoted to Info in the severity table with the reason stated, because cross-site tracing has not been exploitable from mainstream browsers for many years and an auditor should not spend a slot on it
references/web-and-api.md#L22	web-and-api#Checklist-11	corrected	the security-header baseline is scoped to responses a browser renders as a document, and Referrer-Policy is graded Info because strict-origin-when-cross-origin is the current browser default
references/web-and-api.md#L23	cloud-and-iac/object-storage-exposure	moved	public cloud storage is a deferred slug; the pointer is recorded in the does-not-own list rather than restated as a check
references/web-and-api.md#L24	cloud-and-iac/network-exposure-and-segmentation	moved	database with 0.0.0.0/0 ingress is a deferred slug; removed from this lens body per the overlap resolution
references/web-and-api.md#L26-L32	cicd-and-supply-chain	moved	the whole A03:2025 Software Supply Chain Failures section reduces to a pointer: all five dependency slugs are deferred. Only the browser-side half survives here as third-party-script-integrity-sri
references/web-and-api.md#L34-L40	crypto-and-key-management	moved	A04:2025 Cryptographic Failures reduces to a pointer for TLS, at-rest encryption, key material, token entropy, algorithm confusion and padding oracles
references/web-and-api.md#L35	web-and-api#Checklist-11	moved	the HSTS and mixed-content half of A04:2025 stays here, because the artifact is a response header this lens grades
